B23025_001E,B23025_002E,B23025_003E,B23025_004E,B23025_005E,B23025_006E,B23025_007E
1647,1357,1357,1300,57,0,290
766,530,530,453,77,0,236
1158,735,735,725,10,0,423
1007,720,720,683,37,0,287
1343,783,783,746,37,0,560
634,312,312,214,98,0,322
565,427,427,415,12,0,138
735,656,656,583,73,0,79
826,384,384,324,60,0,442
1675,1248,1248,1199,49,0,427
795,565,565,517,48,0,230
2436,1408,1408,1333,75,0,1028
1405,808,808,743,65,0,597
1350,899,899,899,0,0,451
758,469,469,469,0,0,289
1559,809,809,781,28,0,750
662,413,413,372,41,0,249
582,400,400,382,18,0,182
254,101,101,65,36,0,153
507,233,233,119,114,0,274
1189,759,759,735,24,0,430
1435,1130,1130,1059,71,0,305
1960,1220,1220,1173,47,0,740
799,623,623,593,30,0,176
691,418,418,378,40,0,273
523,388,388,380,8,0,135
569,408,408,378,30,0,161
1467,839,839,791,48,0,628
1171,830,830,742,88,0,341
555,370,370,358,12,0,185
986,683,683,629,54,0,303
589,283,283,272,11,0,306
845,559,559,516,43,0,286
723,554,554,504,50,0,169
629,401,401,385,16,0,228
591,338,338,268,70,0,253
1228,980,980,917,63,0,248
1820,1103,1103,928,175,0,717
725,450,450,382,68,0,275
1297,1034,1034,993,41,0,263
401,257,257,257,0,0,144
2267,1494,1494,1368,126,0,773
1207,959,959,906,53,0,248
947,734,734,658,76,0,213
1674,1342,1342,1187,155,0,332
806,649,615,381,234,34,157
838,625,625,571,54,0,213
897,745,745,668,77,0,152
1249,819,819,747,72,0,430
1263,956,956,891,65,0,307
823,509,509,473,36,0,314
1304,662,662,479,183,0,642
1283,573,573,367,206,0,710
785,487,487,458,29,0,298
1273,880,880,722,158,0,393
992,768,768,626,142,0,224
898,420,420,370,50,0,478
989,603,603,512,91,0,386
932,683,683,609,74,0,249
1596,1204,1204,1167,37,0,392
1537,1051,1033,1005,28,18,486
1174,729,729,701,28,0,445
1376,1043,1043,974,69,0,333
833,555,555,517,38,0,278
2067,1535,1535,1389,146,0,532
1002,521,521,521,0,0,481
2515,1769,1769,1589,180,0,746
1360,1011,1011,930,81,0,349
369,219,219,194,25,0,150
871,769,769,769,0,0,102
1404,733,733,540,193,0,671
1409,1001,1001,908,93,0,408
437,206,206,146,60,0,231
932,462,462,348,114,0,470
761,609,609,603,6,0,152
715,582,582,556,26,0,133
1285,718,718,653,65,0,567
1342,887,887,848,39,0,455
1356,685,685,554,131,0,671
1027,729,729,675,54,0,298
1097,543,543,510,33,0,554
932,477,477,401,76,0,455
1010,619,619,536,83,0,391
1298,915,915,862,53,0,383
481,320,320,280,40,0,161
912,445,445,416,29,0,467
1182,863,863,777,86,0,319
2382,1764,1764,1747,17,0,618
909,625,625,547,78,0,284
892,788,788,685,103,0,104
559,394,394,394,0,0,165
1603,1214,1214,1137,77,0,389
991,707,707,691,16,0,284
1084,637,637,614,23,0,447
1030,763,763,709,54,0,267
805,491,491,480,11,0,314
573,353,353,327,26,0,220
644,422,422,399,23,0,222
936,752,752,739,13,0,184
778,554,554,503,51,0,224
661,498,498,486,12,0,163
490,405,405,380,25,0,85
678,501,501,501,0,0,177
834,635,635,585,50,0,199
907,579,579,525,54,0,328
866,711,711,685,26,0,155
728,403,403,385,18,0,325
1078,810,810,723,87,0,268
888,568,568,478,90,0,320
540,276,276,256,20,0,264
821,523,523,507,16,0,298
1109,750,750,703,47,0,359
1026,726,726,726,0,0,300
1053,533,533,523,10,0,520
1146,771,771,701,70,0,375
1554,983,983,955,28,0,571
649,528,528,528,0,0,121
1641,904,904,775,129,0,737
424,252,252,226,26,0,172
1117,1001,976,919,57,25,116
1021,840,840,727,113,0,181
1685,1096,1096,1002,94,0,589
941,706,706,522,184,0,235
440,209,209,186,23,0,231
1096,832,832,681,151,0,264
738,548,548,395,153,0,190
755,488,488,358,130,0,267
1522,1314,1314,1288,26,0,208
669,470,470,384,86,0,199
1121,771,771,625,146,0,350
1487,1029,1029,971,58,0,458
1405,1221,1221,1188,33,0,184
1714,1562,1562,1554,8,0,152
982,831,831,685,146,0,151
949,657,657,489,168,0,292
913,518,518,351,167,0,395
617,393,393,339,54,0,224
419,220,220,200,20,0,199
917,655,655,565,90,0,262
460,271,271,243,28,0,189
657,365,365,202,163,0,292
294,105,105,78,27,0,189
151,127,127,127,0,0,24
464,261,261,233,28,0,203
574,379,379,315,64,0,195
525,303,303,196,107,0,222
1144,814,814,671,143,0,330
1367,888,888,795,93,0,479
777,573,573,573,0,0,204
868,612,612,561,51,0,256
971,673,673,612,61,0,298
1468,968,968,948,20,0,500
1810,1031,1031,939,92,0,779
1937,1308,1308,1276,32,0,629
954,659,659,659,0,0,295
657,342,342,298,44,0,315
916,641,641,603,38,0,275
1221,861,861,827,34,0,360
1707,1266,1266,1170,96,0,441
844,708,708,644,64,0,136
411,259,259,195,64,0,152
941,746,746,746,0,0,195
609,301,301,171,130,0,308
239,110,110,96,14,0,129
894,719,719,718,1,0,175
528,474,474,471,3,0,54
611,426,426,383,43,0,185
692,483,483,459,24,0,209
755,500,500,475,25,0,255
969,441,441,428,13,0,528
1179,749,749,733,16,0,430
879,567,567,515,52,0,312
1086,478,478,392,86,0,608
1727,968,968,889,79,0,759
851,653,653,623,30,0,198
542,386,386,376,10,0,156
583,431,431,431,0,0,152
1295,710,710,661,49,0,585
1941,1177,1177,1091,86,0,764
1481,926,926,880,46,0,555
690,498,498,445,53,0,192
1041,640,640,590,50,0,401
929,491,491,433,58,0,438
942,560,560,495,65,0,382
1857,669,669,650,19,0,1188
807,263,263,261,2,0,544
1187,743,743,708,35,0,444
1804,1169,1169,1071,98,0,635
1348,761,761,659,102,0,587
1618,1438,1438,1401,37,0,180
997,941,941,934,7,0,56
1186,1007,1007,977,30,0,179
1394,975,975,912,63,0,419
1425,1078,1078,1029,49,0,347
472,312,312,282,30,0,160
633,445,445,398,47,0,188
1512,821,821,756,65,0,691
680,471,471,433,38,0,209
1987,1127,1127,1083,44,0,860
1680,941,941,904,37,0,739
1806,1129,1129,1077,52,0,677
783,458,458,445,13,0,325
857,460,460,408,52,0,397
1543,719,719,633,86,0,824
735,494,494,447,47,0,241
627,397,397,358,39,0,230
1061,682,682,549,133,0,379
990,693,693,679,14,0,297
977,549,549,516,33,0,428
1151,738,738,613,125,0,413
845,614,614,598,16,0,231
980,696,696,604,92,0,284
971,744,744,731,13,0,227
1217,886,886,757,129,0,331
1302,911,911,871,40,0,391
992,569,569,559,10,0,423
1669,971,971,958,13,0,698
403,310,310,248,62,0,93
871,605,605,505,100,0,266
614,437,437,408,29,0,177
1940,1329,1329,1249,80,0,611
1531,1109,1109,1018,91,0,422
1028,604,604,542,62,0,424
1145,547,547,527,20,0,598
535,329,329,240,89,0,206
468,350,350,307,43,0,118
1187,776,776,740,36,0,411
709,439,439,409,30,0,270
472,311,311,293,18,0,161
589,359,359,340,19,0,230
970,511,511,466,45,0,459
1198,659,659,559,100,0,539
862,640,640,486,154,0,222
1303,959,959,927,32,0,344
349,182,182,182,0,0,167
672,515,515,499,16,0,157
1642,1321,1321,1291,30,0,321
1401,1090,1090,1072,18,0,311
2086,1655,1655,1455,200,0,431
332,208,208,200,8,0,124
1259,890,890,669,221,0,369
2180,1177,1177,1052,125,0,1003
2470,1563,1563,1346,217,0,907
1453,881,881,720,161,0,572
1434,792,792,605,187,0,642
842,444,444,431,13,0,398
636,368,368,280,88,0,268
564,300,300,226,74,0,264
1075,715,715,394,321,0,360
763,544,544,286,258,0,219
955,477,477,229,248,0,478
699,384,384,143,241,0,315
312,125,125,92,33,0,187
1011,684,684,684,0,0,327
963,601,601,601,0,0,362
1757,984,984,860,124,0,773
1199,694,694,603,91,0,505
1002,552,552,448,104,0,450
903,693,693,531,162,0,210
886,745,745,581,164,0,141
931,728,728,606,122,0,203
1307,1032,1032,689,343,0,275
416,246,246,162,84,0,170
396,325,325,238,87,0,71
1152,652,652,564,88,0,500
1027,666,666,634,32,0,361
497,257,257,201,56,0,240
1120,704,704,668,36,0,416
700,468,468,468,0,0,232
779,547,547,521,26,0,232
855,584,584,563,21,0,271
921,549,549,490,59,0,372
1253,714,714,628,86,0,539
833,578,578,511,67,0,255
699,507,507,482,25,0,192
745,570,570,533,37,0,175
733,411,411,319,92,0,322
526,367,367,367,0,0,159
728,468,468,360,108,0,260
1347,823,823,632,191,0,524
698,466,466,411,55,0,232
1821,1449,1449,1290,159,0,372
2233,1796,1796,1644,152,0,437
917,726,726,726,0,0,191
1065,655,655,644,11,0,410
1423,1043,1043,983,60,0,380
797,593,593,543,50,0,204
682,498,498,421,77,0,184
1849,1342,1342,1126,216,0,507
1937,1167,1167,1069,98,0,770
